text,image_path,label
New study shows vaccine efficacy improving in Europe,dummy_images/sample_75.jpg,0
BREAKING: Scientist discover aliens in NASA. Government denies,dummy_images/sample_76.jpg,1
BREAKING: Scientist discover aliens in a secret lab. Government denies,dummy_images/sample_77.jpg,1
BREAKING: Scientist discover time travel in a secret lab. Official confirmation pending,dummy_images/sample_78.jpg,1
New study shows climate change improving in Asia,dummy_images/sample_79.jpg,0
New study shows economic growth improving in Europe,dummy_images/sample_80.jpg,0
New study shows climate change worsening in Europe,dummy_images/sample_81.jpg,0
New study shows economic growth improving in Asia,dummy_images/sample_82.jpg,0
New study shows vaccine efficacy improving in Europe,dummy_images/sample_83.jpg,0
New study shows climate change worsening in Asia,dummy_images/sample_84.jpg,0
New study shows vaccine efficacy improving in Asia,dummy_images/sample_85.jpg,0
BREAKING: Scientist discover aliens in the ocean. Photos leaked,dummy_images/sample_86.jpg,1
BREAKING: Scientist discover aliens in a secret lab. Official confirmation pending,dummy_images/sample_87.jpg,1
BREAKING: Scientist discover cure for cancer in a secret lab. Official confirmation pending,dummy_images/sample_88.jpg,1
New study shows climate change improving in Asia,dummy_images/sample_89.jpg,0
New study shows climate change improving in Europe,dummy_images/sample_90.jpg,0
New study shows economic growth worsening in North America,dummy_images/sample_91.jpg,0
New study shows vaccine efficacy improving in Europe,dummy_images/sample_92.jpg,0
New study shows vaccine efficacy improving in Asia,dummy_images/sample_93.jpg,0
New study shows economic growth worsening in North America,dummy_images/sample_94.jpg,0
BREAKING: Scientist discover cure for cancer in the ocean. Photos leaked,dummy_images/sample_95.jpg,1
New study shows economic growth improving in North America,dummy_images/sample_96.jpg,0
New study shows climate change improving in North America,dummy_images/sample_97.jpg,0
New study shows economic growth worsening in North America,dummy_images/sample_98.jpg,0
BREAKING: Scientist discover time travel in NASA. Government denies,dummy_images/sample_99.jpg,1
